iter	Passed	Remaining
778	235040	368401
779	235401	368191
780	235754	367969
781	235990	367565
782	236232	367171
783	236544	366884
784	236907	366678
785	237204	366368
786	237404	365910
787	237698	365597
788	238055	365380
789	238365	365091
790	238596	364681
791	239077	364653
792	239559	364625
793	239864	364328
794	240147	363997
795	240385	363597
796	240725	363353
797	241084	363136
798	241366	362805
799	241594	362391
800	241871	362051
801	242251	361867
802	242628	361676
803	242982	361452
804	243235	361076
805	243476	360683
806	243797	360408
807	244155	360190
808	244451	359877
809	244701	359499
810	244960	359133
811	245320	358916
812	245665	358677
813	245976	358388
814	246213	357991
815	246491	357654
816	246854	357440
817	247190	357187
818	247380	356722
819	247832	356637
820	248074	356247
821	248409	355992
822	248500	355389
823	248863	355173
824	248947	354561
825	249302	354335
826	249544	353948
827	249757	353522
828	250086	353258
829	250450	353044
830	250761	352755
831	250968	352321
832	251252	351995
833	251614	351777
834	251951	351525
835	252178	351119
836	252654	351060
837	252959	350762
838	253242	350434
839	253545	350134
840	253907	349915
841	254240	349656
842	254500	349297
843	254772	348954
844	255075	348653
845	255440	348437
846	255790	348201
847	256038	347825
848	256276	347437
849	256595	347158
850	256959	346940
851	257225	346590
852	257651	346454
853	258045	346276
854	258384	346023
855	258623	345637
856	258904	345306
857	259259	345075
858	259641	344878
859	260031	344692
860	260399	344476
861	260672	344135
862	260917	343758
863	261190	343417
864	261553	343194
865	261902	342953
866	262293	342766
867	262548	342401
868	262807	342042
869	263143	341784
870	263507	341561
871	263632	341029
872	263944	340739
873	264216	340398
874	264378	339914
875	264737	339685
876	265052	339399
877	265184	338880
878	265531	338635
879	265890	338406
880	265980	337835
881	266323	337584
882	266560	337200
883	266789	336806
884	267115	336535
885	267387	336196
886	267537	335704
887	267899	335478
888	268189	335162
889	268441	334797
890	268696	334437
891	269058	334211
892	269424	333989
893	269501	333410
894	269859	333178
895	270076	332772
896	270294	332368
897	270652	332137
898	270778	331620
899	271076	331315
900	271403	331045
901	271571	330582
902	271874	330284
903	272236	330056
904	272460	329662
905	272697	329283
906	273031	329022
907	273365	328760
908	273848	328678
909	274199	328436
910	274563	328210
911	274819	327854
912	275067	327490
913	275347	327163
914	275707	326931
915	275982	326599
916	276462	326509
917	276794	326243
918	277048	325886
919	277289	325514
920	277635	325264
921	277996	325033
922	278252	324678
923	278508	324323
924	278796	324006
925	279155	323772
926	279503	323524
927	279886	323317
928	280130	322949
929	280375	322582
930	280688	322294
931	281047	322058
932	281287	321687
933	281761	321582
934	282209	321447
935	282508	321142
936	282754	320776
937	282977	320386
938	283270	320074
939	283514	319707
940	283781	319366
941	284142	319132
942	284316	318687
943	284801	318591
944	284976	318148
945	285343	317920
946	285508	317466
947	285783	317135
948	286145	316901
949	286384	316529
950	286584	316116
951	286945	315880
952	287176	315501
953	287530	315259
954	287797	314919
955	288121	314642
956	288486	314410
957	288796	314118
958	289001	313713
959	289313	313422
960	289654	313164
961	290020	312933
962	290329	312639
963	290529	312228
964	290804	311899
965	291163	311659
966	291422	311313
967	291658	310942
968	292068	310756
969	292415	310502
970	292735	310221
971	293101	309987
972	293432	309717
973	293728	309410
974	294001	309078
975	294287	308760
976	294632	308505
977	294815	308078
978	295067	307725
979	295427	307485
980	295610	307061
981	295855	306701
982	296216	306462
983	296414	306054
984	296652	305688
985	297087	305523
986	297428	305263
987	297742	304974
988	297998	304626
989	298255	304280
990	298596	304019
991	298954	303776
992	299174	303392
993	299422	303037
994	299759	302772
995	300118	302529
996	300417	302225
997	300677	301882
998	300935	301537
999	301413	301413
1000	301688	301085
1001	302058	300852
1002	302321	300512
1003	302584	300173
1004	302857	299843
1005	303218	299601
1006	303425	299207
1007	303641	298822
1008	304002	298578
1009	304171	298148
1010	304440	297815
1011	304709	297482
1012	304884	297059
1013	305226	296797
1014	305570	296539
1015	305808	296176
1016	306046	295815
1017	306381	295547
1018	306790	295349
1019	307271	295221
1020	307524	294873
1021	307883	294628
1022	308222	294363
1023	308318	293865
1024	308677	293619
1025	308921	293264
1026	309403	293134
1027	309633	292766
1028	309900	292433
1029	310260	292187
1030	310509	291836
1031	310706	291438
1032	311066	291191
1033	311334	290860
1034	311559	290487
1035	311886	290211
1036	312242	289960
1037	312575	289689
1038	312766	289286
1039	313030	288951
1040	313392	288706
1041	313694	288406
1042	314174	288269
1043	314551	288037
1044	314926	287803
1045	315218	287493
1046	315429	287110
1047	315720	286799
1048	316083	286554
1049	316357	286228
1050	316842	286092
1051	317253	285890
1052	317617	285644
1053	317839	285271
1054	318072	284908
1055	318554	284768
1056	318840	284453
1057	319182	284187
1058	319480	283881
1059	319611	283429
1060	319970	283178
1061	320109	282733
1062	320409	282430
1063	320640	282067
1064	320846	281682
1065	321202	281428
1066	321464	281092
1067	321696	280731
1068	322018	280448
1069	322366	280187
1070	322587	279816
1071	322817	279453
1072	323269	279282
1073	323749	279136
1074	324072	278852
1075	324350	278531
1076	324714	278283
1077	325006	277974
1078	325482	277821
1079	325785	277520
1080	326075	277209
1081	326290	276834
1082	326654	276585
1083	327020	276338
1084	327370	276077
1085	327659	275764
1086	327941	275446
1087	328193	275103
1088	328552	274849
1089	328680	274402
1090	328982	274101
1091	329260	273780
1092	329411	273354
1093	329772	273102
1094	329964	272710
1095	330447	272558
1096	330686	272205
1097	330981	271899
1098	331338	271643
1099	331706	271395
1100	331989	271079
1101	332210	270712
1102	332516	270414
1103	332878	270162
1104	333162	269846
1105	333369	269468
1106	333662	269160
1107	334015	268900
1108	334032	268370
1109	334340	268075
1110	334781	267885
1111	335089	267589
1112	335339	267247
1113	335595	266909
1114	335946	266647
1115	336111	266239
1116	336387	265917
1117	336715	265637
1118	336823	265184
1119	337182	264929
1120	337391	264555
1121	337619	264197
1122	337942	263914
1123	338132	263527
1124	338403	263202
1125	338769	262952
1126	339133	262700
1127	339382	262359
1128	339602	261996
1129	339927	261714
1130	340289	261460
1131	340585	261155
1132	340813	260799
1133	341080	260472
1134	341529	260284
1135	342012	260122
1136	342287	259801
1137	342646	259544
1138	342767	259107
1139	343086	258819
1140	343384	258516
1141	343517	258088
1142	343877	257832
1143	344137	257501
1144	344377	257155
1145	344677	256853
1146	345022	256585
1147	345104	256122
1148	345463	255865
1149	345671	255496
1150	345902	255144
1151	346162	254813
1152	346440	254496
1153	346706	254171
1154	347068	253915
1155	347355	253605
1156	347600	253264
1157	347861	252935
1158	348224	252680
1159	348562	252407
1160	348786	252051
1161	349024	251706
1162	349385	251449
1163	349705	251163
1164	349928	250807
1165	350166	250461
1166	350525	250203
1167	350874	249938
1168	351091	249578
1169	351570	249404
1170	351886	249115
1171	352083	248741
1172	352313	248391
1173	352582	248069
1174	352874	247762
1175	353222	247496
1176	353312	247048
1177	353672	246790
1178	353902	246440
1179	354156	246108
1180	354488	245830
1181	354822	245554
1182	355023	245185
1183	355281	244856
1184	355639	244595
1185	355774	244182
1186	356069	243879
1187	356364	243575
1188	356834	243391
1189	357064	243044
1190	357272	242681
1191	357634	242423
1192	357998	242166
1193	358248	241832
1194	358465	241476
1195	358792	241194
1196	359152	240935
1197	359397	240598
1198	359614	240243
1199	359948	239965
1200	360312	239708
1201	360585	239390
1202	360827	239051
1203	361304	238868
1204	361785	238688
1205	362114	238406
1206	362366	238074
1207	362637	237755
1208	363075	237545
1209	363410	237268
1210	363775	237009
1211	363996	236657
1212	364215	236304
1213	364578	236045
1214	364720	235642
1215	365017	235340
1216	365376	235077
1217	365546	234694
1218	365825	234380
1219	366183	234117
1220	366540	233853
1221	366866	233569
1222	367145	233255
1223	367383	232916
1224	367717	232637
1225	368080	232377
1226	368390	232082
1227	368625	231741
1228	368987	231480
1229	369267	231167
1230	369534	230846
1231	369695	230459
1232	370059	230199
1233	370305	229865
1234	370549	229530
1235	370866	229241
1236	371230	228980
1237	371538	228685
1238	371814	228370
1239	372068	228041
1240	372388	227754
1241	372751	227492
1242	373031	227179
1243	373292	226856
1244	373772	226665
1245	374052	226352
1246	374313	226028
1247	374672	225763
1248	375037	225502
1249	375308	225184
1250	375567	224860
1251	375836	224541
1252	376197	224277
1253	376547	224006
1254	376797	223676
1255	377020	223330
1256	377356	223051
1257	377713	222784
1258	377866	222397
1259	378315	222185
1260	378726	221950
1261	379020	221645
1262	379371	221374
1263	379652	221063
1264	380015	220799
1265	380307	220494
1266	380542	220156
1267	381022	219959
1268	381319	219656
1269	381576	219331
1270	381940	219067
1271	382290	218795
1272	382547	218469
1273	382790	218136
1274	383112	217848
1275	383476	217584
1276	383726	217254
1277	383966	216920
1278	384270	216621
1279	384633	216356
1280	384943	216060
1281	385186	215728
1282	385669	215529
1283	385962	215225
1284	386201	214890
1285	386543	214612
1286	386910	214348
1287	387179	214030
1288	387658	213828
1289	387962	213529
1290	388214	213202
1291	388473	212878
1292	388838	212612
1293	389191	212340
1294	389442	212012
1295	389686	211681
1296	390005	211390
1297	390367	211123
1298	390687	210833
1299	390961	210517
1300	391225	210197
1301	391523	209895
1302	391924	209647
1303	392286	209379
1304	392650	209112
1305	392960	208816
1306	393205	208486
1307	393522	208193
1308	393825	207894
1309	394188	207626
1310	394487	207324
1311	394728	206991
1312	394995	206672
1313	395358	206404
1314	395724	206138
1315	395969	205807
1316	396199	205470
1317	396524	205181
1318	396896	204917
1319	397259	204648
1320	397560	204347
1321	397826	204029
1322	398091	203709
1323	398427	203426
1324	398793	203159
1325	399062	202841
1326	399541	202631
1327	399950	202384
1328	400254	202085
1329	400507	201759
1330	400757	201432
1331	401119	201161
1332	401440	200870
1333	401871	200634
1334	402237	200365
1335	402515	200052
1336	402768	199727
1337	403051	199417
1338	403414	199146
1339	403775	198874
1340	404039	198554
1341	404295	198231
1342	404574	197918
1343	404937	197648
1344	405148	197302
1345	405374	196964
1346	405792	196720
1347	406155	196449
1348	406470	196154
1349	406615	195777
1350	406950	195492
1351	407313	195221
